health_type,n_obs,n_individuals,mean_age,mean_frailty,std_frailty,median_frailty,death_rate
1,446210,72017,45.31542156091504,0.02655210509584009,0.042082622930087125,0.0,0.00025324398825665045
2,5406,1622,68.27395486496485,0.49931489017689534,0.3229850038054642,0.4074074074074074,0.25675175730669625
3,77687,10855,65.35480009268079,0.20331634684100344,0.18559127927425165,0.1851851851851851,0.037882786051720366
