model,term,coef,std_err,p_value,nobs
basic,Intercept,27.872435405167142,0.5217232445213049,0.0,2500
basic,age,-0.10627345452895243,0.011903732909272793,4.3479279853022895e-19,2500
basic,female,-0.3375236643357369,0.21088745756981936,0.10948950590340706,2500
basic,education,2.7755125171491506,0.12885979073192413,6.712388101213712e-103,2500
full,Intercept,25.615613469981543,0.7348370554119862,3.121027339870096e-266,2500
full,age,-0.05294895254143057,0.016335922169643455,0.0011900306587082827,2500
full,female,-0.3415906384362213,0.21006983774634766,0.10393235788942291,2500
full,education,2.7818944301033337,0.12840349731868048,4.364947051305194e-104,2500
full,type_1,0.766243773572146,0.2766845755109105,0.005616368459166149,2500
full,type_2,-1.193909084893401,0.3146180897838578,0.0001477694131690074,2500
